BatchNum,Accuracy,Precision,Recall
1,0.53,0.53,1.0
2,0.55,0.55,1.0
3,0.53,0.53,1.0
4,0.62,0.5730337078651685,1.0
5,0.83,0.7384615384615385,1.0
6,0.74,0.6790123456790124,1.0
7,0.87,0.7936507936507936,1.0
8,0.98,0.9574468085106383,1.0
9,0.93,0.890625,1.0
10,0.97,0.9375,1.0
11,0.94,0.9047619047619048,1.0
12,0.96,0.9310344827586207,1.0
13,1.0,1.0,1.0
14,0.96,0.9767441860465116,0.9333333333333333
15,0.97,0.9444444444444444,1.0
16,0.96,0.9354838709677419,1.0
17,0.96,0.9245283018867925,1.0
18,0.93,0.8852459016393442,1.0
19,0.96,0.9310344827586207,1.0
20,0.99,0.9807692307692307,1.0
21,0.97,1.0,0.9347826086956522
22,0.86,0.8974358974358975,0.7777777777777778
23,0.98,0.9661016949152542,1.0
24,0.99,0.9811320754716981,1.0
25,0.94,0.9523809523809523,0.9090909090909091
26,0.93,0.9423076923076923,0.9245283018867925
27,0.89,0.9285714285714286,0.8297872340425532
28,0.97,0.9508196721311475,1.0
29,0.95,0.9206349206349206,1.0
30,0.99,0.9814814814814815,1.0
31,1.0,1.0,1.0
32,0.97,0.9491525423728814,1.0
33,0.98,0.9655172413793104,1.0
34,0.97,0.9464285714285714,1.0
35,0.97,0.9473684210526315,1.0
36,0.9,0.84375,1.0
37,0.96,0.9310344827586207,1.0
38,0.98,0.9666666666666667,1.0
39,0.98,0.9615384615384616,1.0
40,0.99,0.9814814814814815,1.0
41,0.98,0.9615384615384616,1.0
42,0.99,0.9814814814814815,1.0
43,0.98,0.9622641509433962,1.0
44,0.99,0.9811320754716981,1.0
45,0.97,0.94,1.0
46,0.99,0.9803921568627451,1.0
47,0.97,0.94,1.0
48,1.0,1.0,1.0
49,0.96,0.9344262295081968,1.0
50,0.99,0.9821428571428571,1.0
51,1.0,1.0,1.0
52,0.97,0.9433962264150944,1.0
53,0.99,0.98,1.0
54,0.99,0.9827586206896551,1.0
55,0.95,0.8979591836734694,1.0
56,0.99,0.9777777777777777,1.0
57,0.96,0.9090909090909091,1.0
58,1.0,1.0,1.0
59,1.0,1.0,1.0
60,0.96,0.9230769230769231,1.0
61,0.98,0.9583333333333334,1.0
62,0.96,0.9069767441860465,1.0
63,0.99,0.9821428571428571,1.0
64,0.98,0.9655172413793104,1.0
65,0.99,0.9821428571428571,1.0
66,0.99,0.98,1.0
67,1.0,1.0,1.0
68,0.98,0.9574468085106383,1.0
69,0.96,0.9090909090909091,1.0
70,0.98,0.9523809523809523,1.0
71,0.99,0.9803921568627451,1.0
72,0.99,0.9814814814814815,1.0
73,0.97,0.9411764705882353,1.0
74,0.97,0.9473684210526315,1.0
75,1.0,1.0,1.0
76,1.0,1.0,1.0
77,0.97,0.9444444444444444,1.0
78,1.0,1.0,1.0
79,0.99,0.9807692307692307,1.0
80,0.94,0.8909090909090909,1.0
81,0.99,0.9814814814814815,1.0
82,0.99,0.9836065573770492,1.0
83,0.96,0.9245283018867925,1.0
84,0.99,0.98,1.0
85,0.97,0.9473684210526315,1.0
86,0.99,0.9821428571428571,1.0
87,0.98,0.9622641509433962,1.0
88,0.99,0.9818181818181818,1.0
89,0.99,0.9772727272727273,1.0
90,0.99,0.9818181818181818,1.0
91,0.96,0.9285714285714286,1.0
92,0.98,0.9622641509433962,1.0
93,0.99,0.9761904761904762,1.0
94,0.98,0.9629629629629629,1.0
95,0.97,0.9411764705882353,1.0
96,1.0,1.0,1.0
97,0.97,0.9473684210526315,1.0
98,0.99,0.9811320754716981,1.0
99,0.98,0.9607843137254902,1.0
100,1.0,1.0,1.0
101,1.0,1.0,1.0
102,1.0,1.0,1.0
103,0.99,0.9803921568627451,1.0
104,0.98,0.9591836734693877,1.0
105,1.0,1.0,1.0
106,0.99,0.984375,1.0
107,0.95,0.9056603773584906,1.0
108,0.99,0.9811320754716981,1.0
109,0.98,0.9591836734693877,1.0
110,0.98,0.9607843137254902,1.0
111,1.0,1.0,1.0
112,1.0,1.0,1.0
113,0.99,0.9791666666666666,1.0
114,1.0,1.0,1.0
115,1.0,1.0,1.0
116,0.98,0.9655172413793104,1.0
117,1.0,1.0,1.0
118,0.99,0.9767441860465116,1.0
119,0.99,0.9811320754716981,1.0
120,0.98,0.9574468085106383,1.0
121,1.0,1.0,1.0
122,0.99,0.9777777777777777,1.0
123,0.98,0.9692307692307692,1.0
124,1.0,1.0,1.0
125,1.0,1.0,1.0
126,0.99,0.9787234042553191,1.0
127,0.99,0.9803921568627451,1.0
128,1.0,1.0,1.0
129,0.97,0.9347826086956522,1.0
130,0.99,0.9821428571428571,1.0
131,1.0,1.0,1.0
132,1.0,1.0,1.0
133,0.99,0.9787234042553191,1.0
134,0.99,0.9811320754716981,1.0
135,0.99,0.9807692307692307,1.0
136,1.0,1.0,1.0
137,0.99,0.9811320754716981,1.0
138,0.99,0.9787234042553191,1.0
139,1.0,1.0,1.0
140,1.0,1.0,1.0
141,1.0,1.0,1.0
142,0.99,0.9787234042553191,1.0
143,1.0,1.0,1.0
144,1.0,1.0,1.0
145,0.98,0.9649122807017544,1.0
146,1.0,1.0,1.0
147,1.0,1.0,1.0
148,0.99,0.9827586206896551,1.0
149,1.0,1.0,1.0
150,1.0,1.0,1.0
151,0.98,0.967741935483871,1.0
152,0.99,0.98,1.0
153,1.0,1.0,1.0
154,0.98,0.9622641509433962,1.0
155,1.0,1.0,1.0
156,1.0,1.0,1.0
157,0.99,0.9791666666666666,1.0
158,1.0,1.0,1.0
159,1.0,1.0,1.0
160,1.0,1.0,1.0
161,1.0,1.0,1.0
162,1.0,1.0,1.0
163,1.0,1.0,1.0
164,0.99,0.9803921568627451,1.0
165,0.99,0.98,1.0
166,1.0,1.0,1.0
167,0.99,0.9803921568627451,1.0
168,1.0,1.0,1.0
169,1.0,1.0,1.0
170,1.0,1.0,1.0
171,0.99,0.9803921568627451,1.0
172,1.0,1.0,1.0
173,1.0,1.0,1.0
174,0.98,0.96,1.0
175,0.99,0.9850746268656716,1.0
176,0.99,0.9818181818181818,1.0
177,0.97,0.9387755102040817,1.0
178,1.0,1.0,1.0
179,1.0,1.0,1.0
180,1.0,1.0,1.0
181,1.0,1.0,1.0
182,1.0,1.0,1.0
183,1.0,1.0,1.0
184,1.0,1.0,1.0
185,1.0,1.0,1.0
186,1.0,1.0,1.0
187,1.0,1.0,1.0
188,0.98,0.96,1.0
189,0.99,0.9807692307692307,1.0
190,0.99,0.9791666666666666,1.0
191,0.98,0.9583333333333334,1.0
192,1.0,1.0,1.0
193,1.0,1.0,1.0
194,1.0,1.0,1.0
195,0.99,0.9777777777777777,1.0
196,1.0,1.0,1.0
197,0.98,0.9591836734693877,1.0
198,1.0,1.0,1.0
199,1.0,1.0,1.0
200,0.99,0.9830508474576272,1.0
201,0.97,0.9411764705882353,1.0
202,1.0,1.0,1.0
203,0.99,0.9830508474576272,1.0
204,1.0,1.0,1.0
205,0.99,0.9818181818181818,1.0
206,1.0,1.0,1.0
207,0.98,0.9574468085106383,1.0
208,1.0,1.0,1.0
209,0.99,0.9787234042553191,1.0
210,0.99,0.9814814814814815,1.0
211,1.0,1.0,1.0
212,0.98,0.9545454545454546,1.0
213,0.99,0.9791666666666666,1.0
214,1.0,1.0,1.0
215,1.0,1.0,1.0
216,1.0,1.0,1.0
